ID da Transação,ID do Cliente,Data da Transação,Valor Total,Número de Parcelas,Valor da Parcela,Taxa de Juros
47,71,2018-11-17,9688,15,645.87,1.33
48,2034,2018-05-15,6791,24,282.96,4.19
49,199,2023-11-18,14968,9,1663.11,1.84
50,3424,2019-02-08,5178,13,398.31,2.84
51,1589,2019-02-16,12969,16,810.56,4.05
52,1956,2020-03-29,10298,14,735.57,0.59
53,1766,2020-11-10,7851,6,1308.5,1.86
54,2282,2023-06-18,8896,12,741.33,2.14
55,276,2022-07-01,8473,19,445.95,4.83
56,3932,2021-04-18,3830,6,638.33,3.3
57,3088,2021-06-28,14459,15,963.93,2.91
58,1116,2022-06-10,12283,9,1364.78,3.41
59,3237,2023-05-26,10719,18,595.5,2.63
60,2880,2023-02-28,13970,11,1270.0,4.5
61,2705,2021-10-31,10554,16,659.62,4.53
62,1604,2020-09-03,7691,20,384.55,0.3
63,4802,2021-02-12,5445,24,226.88,3.79
64,719,2018-12-17,1785,20,89.25,4.06
65,1752,2020-05-21,13223,12,1101.92,4.85
66,2923,2018-06-27,5127,17,301.59,1.44
67,3369,2019-11-01,7173,17,421.94,3.16
68,3386,2019-06-21,13897,20,694.85,3.32
69,4771,2023-07-15,13911,7,1987.29,4.82
70,901,2019-04-15,9924,16,620.25,0.15
71,420,2019-02-17,9549,19,502.58,4.72
72,95,2022-04-02,12190,22,554.09,2.06
73,4432,2023-01-23,10440,20,522.0,3.38
74,2777,2022-07-11,9790,15,652.67,2.28
75,4991,2021-06-17,6349,13,488.38,3.28
76,787,2018-01-04,8969,6,1494.83,3.37
77,3049,2020-09-19,5810,7,830.0,0.03
78,2806,2023-12-14,6049,22,274.95,2.14
79,1738,2021-07-04,7208,15,480.53,0.23
80,3340,2018-06-17,2372,13,182.46,4.02
81,4908,2019-07-17,13112,17,771.29,1.34
82,728,2021-11-30,2689,18,149.39,0.6
83,1214,2023-05-05,11249,23,489.09,3.14
84,1243,2020-11-22,8482,21,403.9,4.29
85,79,2022-10-27,5421,9,602.33,4.21
86,1594,2023-12-24,13053,18,725.17,2.12
87,2578,2023-09-08,4943,15,329.53,0.7
88,1416,2018-02-04,13500,12,1125.0,2.19
89,3994,2020-12-30,6522,21,310.57,0.85
90,3833,2020-12-01,5242,17,308.35,1.06
91,2308,2020-11-14,8932,7,1276.0,0.95
92,3272,2022-02-14,10892,19,573.26,2.72
93,2768,2021-02-06,5239,13,403.0,2.42
94,1021,2022-12-07,13795,9,1532.78,2.05
95,2299,2023-10-15,8637,22,392.59,0.97
96,4943,2018-09-14,6305,12,525.42,0.79
97,3070,2022-03-12,9989,22,454.05,4.5
98,3672,2021-09-23,10857,7,1551.0,3.75
99,3826,2021-01-21,10777,9,1197.44,3.17
100,849,2021-11-15,7136,13,548.92,2.53
101,4442,2021-11-25,13675,9,1519.44,1.88
102,4414,2023-06-13,8799,13,676.85,0.1
103,4205,2022-11-29,12792,13,984.0,1.13
104,292,2020-11-23,9272,14,662.29,0.08
105,4561,2023-10-30,2909,17,171.12,1.36
106,1818,2018-05-15,8805,6,1467.5,1.33
107,2806,2018-01-13,10971,9,1219.0,3.5
108,3796,2022-07-19,14519,14,1037.07,4.42
109,4007,2019-06-06,8960,18,497.78,4.48
110,3417,2018-03-03,13618,6,2269.67,4.99
111,2543,2019-02-02,2319,23,100.83,1.31
112,1610,2021-03-20,6454,16,403.38,0.77
113,3616,2018-04-05,9405,9,1045.0,0.2
114,999,2018-09-09,7845,17,461.47,4.7
115,1513,2023-04-21,11899,23,517.35,2.3
116,615,2020-11-16,5541,7,791.57,0.84
117,3193,2018-01-03,12464,7,1780.57,1.44
118,1270,2021-09-06,2431,17,143.0,1.49
119,4688,2022-02-23,8152,19,429.05,1.43
120,4554,2019-05-25,9075,23,394.57,1.79
121,4010,2023-05-24,14787,22,672.14,2.75
122,2295,2020-04-27,7258,15,483.87,2.58
123,728,2023-09-22,8208,17,482.82,4.34
124,52,2020-09-25,3642,16,227.62,0.52
125,1070,2022-10-12,12043,20,602.15,2.4
126,4307,2022-01-14,7301,14,521.5,1.44
127,4544,2020-07-26,9512,20,475.6,4.19
128,177,2021-03-20,7227,7,1032.43,4.36
129,292,2018-01-09,5874,17,345.53,3.61
130,868,2018-08-28,7794,23,338.87,2.99
131,4439,2022-05-03,11603,17,682.53,1.04
132,3942,2019-05-31,10180,13,783.08,2.89
133,1163,2023-09-14,9295,17,546.76,3.26
134,4547,2023-03-28,13021,14,930.07,4.56
135,2508,2018-03-24,2806,7,400.86,3.13
136,4693,2023-12-26,2514,20,125.7,3.26
137,4979,2022-11-25,4025,8,503.12,2.05
138,4177,2021-09-19,7442,23,323.57,0.92
139,1541,2021-11-13,8826,15,588.4,1.05
140,3942,2020-03-04,12876,17,757.41,4.87
141,4378,2020-08-22,7509,7,1072.71,1.48
142,3216,2018-02-15,10370,7,1481.43,0.18
143,1581,2022-03-08,1998,21,95.14,1.35
144,297,2020-05-03,5651,20,282.55,0.9
145,4845,2023-06-05,1865,23,81.09,2.44
146,1300,2019-04-14,10377,8,1297.12,0.08
147,2994,2023-09-27,11198,23,486.87,2.43
148,3670,2019-07-04,13389,9,1487.67,0.92
149,4630,2018-06-19,12627,9,1403.0,2.87
150,1069,2023-01-05,9365,10,936.5,0.57
151,2780,2018-05-26,8392,8,1049.0,4.17
152,2317,2022-07-30,13165,23,572.39,2.22
153,62,2019-01-16,5328,16,333.0,3.73
154,1652,2019-03-12,8734,24,363.92,4.72
155,2497,2020-06-05,10255,9,1139.44,1.93
156,3848,2022-03-23,5544,20,277.2,0.96
157,2551,2023-09-26,7067,24,294.46,2.37
158,433,2020-08-03,6783,9,753.67,3.52
159,4767,2022-05-01,13216,15,881.07,0.73
160,1023,2018-09-12,4197,12,349.75,4.75
161,3801,2022-06-20,4304,13,331.08,0.36
162,749,2022-09-27,11957,14,854.07,4.63
163,2670,2018-11-20,9141,12,761.75,1.75
164,4058,2019-04-29,2987,21,142.24,0.88
165,1786,2022-07-25,14249,22,647.68,2.57
166,4541,2021-09-17,12103,20,605.15,0.23
167,659,2023-09-20,10503,7,1500.43,4.0
168,2516,2023-09-06,4275,14,305.36,4.1
169,2854,2022-10-28,8789,20,439.45,4.66
170,531,2022-03-14,11256,19,592.42,0.74
171,2012,2022-02-08,10299,23,447.78,2.22
172,2069,2023-07-31,1778,6,296.33,4.19
173,3695,2021-08-05,12043,12,1003.58,2.77
174,604,2021-04-21,7175,16,448.44,1.26
175,1268,2020-04-12,8455,6,1409.17,0.22
176,4499,2021-01-24,10617,21,505.57,4.12
177,2987,2018-11-08,4020,18,223.33,3.77
178,924,2020-10-29,14453,22,656.95,2.75
179,4982,2018-03-26,6104,11,554.91,4.62
180,1568,2019-06-04,4007,17,235.71,1.32
181,1366,2020-06-11,8110,12,675.83,0.95
182,4663,2021-11-06,11373,23,494.48,3.6
183,4417,2020-03-19,5630,17,331.18,1.28
184,4696,2023-07-11,5857,16,366.06,2.72
185,1302,2023-01-12,4160,12,346.67,1.73
186,4519,2023-08-23,9464,19,498.11,3.97
187,390,2020-12-10,5929,22,269.5,1.17
188,4314,2022-05-27,3455,20,172.75,1.89
189,662,2023-03-07,4926,9,547.33,3.57
190,3591,2019-06-08,12263,10,1226.3,0.58
191,1036,2022-09-13,12109,18,672.72,4.46
192,3651,2021-05-21,4193,16,262.06,3.97
193,1681,2023-08-17,14215,11,1292.27,4.26
194,1389,2018-03-05,6020,23,261.74,0.09
195,2314,2019-05-12,5104,12,425.33,1.19
196,3384,2019-02-02,14271,10,1427.1,1.36
197,4369,2018-12-16,5577,16,348.56,1.9
198,1862,2019-04-17,3712,22,168.73,0.95
199,2544,2020-04-11,8050,7,1150.0,0.28
200,730,2022-03-28,5621,21,267.67,3.28
201,2799,2023-02-03,13571,8,1696.38,3.08
202,853,2019-04-01,1076,22,48.91,4.14
203,337,2022-09-04,10660,21,507.62,1.09
204,3017,2018-02-26,6288,22,285.82,4.28
205,2109,2020-03-25,8478,19,446.21,3.37
206,2566,2019-09-19,12502,6,2083.67,3.67
207,241,2022-05-09,14581,22,662.77,2.98
208,903,2023-09-13,14169,24,590.38,1.46
209,3190,2023-05-05,9874,11,897.64,3.79
210,867,2021-12-15,5713,11,519.36,1.71
211,1366,2023-09-03,12174,14,869.57,0.82
212,2111,2022-07-15,10110,20,505.5,2.99
213,1084,2018-03-07,1366,13,105.08,3.38
214,2565,2023-06-29,1045,21,49.76,0.11
215,4096,2022-12-12,2451,22,111.41,4.23
216,2172,2018-12-19,14545,24,606.04,3.94
217,2604,2019-04-09,9549,16,596.81,3.54
218,729,2023-04-05,1955,19,102.89,3.87
219,4175,2023-12-26,12641,7,1805.86,1.46
220,68,2018-12-02,13268,22,603.09,3.38
221,4191,2022-11-04,8909,10,890.9,4.02
222,2558,2022-12-18,8440,18,468.89,4.64
223,384,2020-08-11,14077,6,2346.17,1.73
224,3750,2020-05-13,10333,22,469.68,0.61
225,1187,2020-07-09,11353,15,756.87,2.31
226,3828,2023-12-18,8600,16,537.5,3.33
227,2143,2021-07-07,7593,10,759.3,2.11
228,2702,2022-05-27,3090,11,280.91,3.09
229,2602,2023-12-01,9670,16,604.38,3.27
230,1020,2020-10-10,5569,20,278.45,1.88
231,1843,2020-12-16,5138,12,428.17,3.22
232,4303,2022-10-21,5694,8,711.75,4.13
233,4593,2018-04-11,11545,23,501.96,4.39
234,1520,2019-03-10,12122,10,1212.2,0.74
235,2240,2022-06-10,14518,22,659.91,4.72
236,1685,2020-05-06,14441,11,1312.82,4.45
237,3431,2018-01-22,14407,6,2401.17,1.74
238,919,2019-12-12,6488,12,540.67,0.64
239,2645,2019-06-17,13305,10,1330.5,4.93
240,1649,2020-02-10,2595,12,216.25,4.55
241,3692,2018-12-06,2936,17,172.71,1.13
242,662,2022-02-10,9392,23,408.35,0.14
243,814,2019-04-15,4677,12,389.75,3.13
244,2652,2023-12-21,13338,13,1026.0,3.98
245,2617,2020-01-11,3346,19,176.11,3.22
246,1779,2019-01-17,4545,17,267.35,3.3
247,2532,2018-11-28,3000,22,136.36,2.75
248,4166,2023-03-20,11932,16,745.75,0.03
249,4937,2020-01-21,6516,24,271.5,1.22
250,752,2022-01-15,5018,13,386.0,0.42
251,4910,2019-01-20,10560,23,459.13,1.89
252,457,2020-01-22,1395,11,126.82,3.31
253,4889,2023-04-10,14596,11,1326.91,2.53
254,2565,2018-08-13,13098,11,1190.73,2.46
255,3800,2020-05-12,14996,20,749.8,1.88
256,252,2022-11-06,6945,18,385.83,1.91
257,284,2020-08-19,14372,12,1197.67,3.97
258,2985,2023-05-10,7309,15,487.27,3.25
259,3623,2021-01-14,11492,7,1641.71,4.83
260,1306,2020-02-10,11045,6,1840.83,1.46
261,313,2019-11-17,11396,16,712.25,4.35
262,3968,2020-01-08,8540,15,569.33,2.79
263,3143,2023-05-21,11050,20,552.5,0.98
264,4057,2019-09-15,11152,17,656.0,4.86
265,47,2023-12-25,3747,16,234.19,1.78
266,1828,2021-04-12,11068,20,553.4,3.47
267,546,2019-09-19,8194,15,546.27,3.16
268,3773,2023-09-24,4657,11,423.36,0.43
269,493,2018-06-16,14665,20,733.25,0.91
270,525,2022-02-07,9726,10,972.6,1.07
271,4237,2023-11-16,2940,19,154.74,3.38
272,3311,2020-05-06,5666,16,354.12,4.78
273,1083,2021-09-07,14880,10,1488.0,0.65
274,3394,2019-11-14,2971,9,330.11,1.01
275,4276,2019-09-14,14921,16,932.56,3.33
276,3225,2022-04-17,4750,7,678.57,3.2
277,1819,2018-04-15,10124,9,1124.89,4.35
278,4177,2019-11-14,4932,20,246.6,4.55
279,3355,2020-04-29,10485,21,499.29,2.89
280,1109,2018-10-14,3954,13,304.15,0.76
281,2391,2018-08-27,8788,10,878.8,0.47
282,3304,2021-03-20,6181,15,412.07,3.65
283,1110,2023-04-23,14805,16,925.31,5.0
284,4341,2022-02-26,1976,12,164.67,4.52
285,1476,2018-03-14,9036,21,430.29,0.48
286,623,2022-02-03,2947,14,210.5,3.19
287,2549,2022-12-04,14318,13,1101.38,3.0
288,1091,2019-10-02,10071,10,1007.1,3.99
289,2513,2020-04-06,1240,23,53.91,0.15
290,2522,2019-10-09,4055,16,253.44,2.33
291,3473,2023-12-18,13530,17,795.88,3.11
292,4299,2021-02-11,1443,17,84.88,0.9
293,1432,2023-05-04,10853,24,452.21,2.66
294,1252,2023-10-17,10521,19,553.74,3.17
295,1324,2019-08-05,2212,20,110.6,1.43
296,4017,2022-04-22,3854,18,214.11,2.06
297,3676,2019-07-01,4424,23,192.35,1.14
298,1646,2019-02-16,11836,18,657.56,2.14
299,4685,2023-01-06,8121,18,451.17,2.41
300,788,2019-08-31,8412,12,701.0,3.83
301,1926,2021-01-23,2182,23,94.87,0.05
302,4206,2021-10-25,13013,13,1001.0,0.58
303,819,2023-06-14,9366,9,1040.67,0.18
304,3409,2018-12-25,13026,19,685.58,2.33
305,35,2020-05-30,8232,22,374.18,3.38
306,3958,2018-02-09,1800,17,105.88,1.36
307,3618,2018-10-18,12239,22,556.32,1.86
308,3443,2021-08-01,6013,10,601.3,4.11
309,3086,2021-05-25,4780,15,318.67,4.58
310,3370,2021-07-15,6009,6,1001.5,2.6
311,2717,2018-07-04,4153,22,188.77,2.91
312,2372,2021-06-15,8872,10,887.2,3.8
313,374,2019-08-12,8208,16,513.0,3.58
314,1562,2022-11-13,1565,11,142.27,1.08
315,386,2023-07-20,13349,15,889.93,0.74
316,4963,2018-06-05,6626,6,1104.33,2.21
317,2684,2022-01-04,6638,8,829.75,4.34
318,161,2023-10-10,8442,21,402.0,0.48
319,2190,2018-02-24,2979,13,229.15,0.66
320,3154,2022-11-23,13436,12,1119.67,1.53
321,87,2018-01-16,12950,19,681.58,3.61
322,3242,2021-08-21,4385,15,292.33,0.46
323,749,2018-06-23,9587,23,416.83,0.71
324,2969,2018-10-29,2622,21,124.86,3.21
325,4539,2019-12-14,12381,15,825.4,2.24
326,3953,2023-09-10,9635,9,1070.56,0.59
327,31,2019-08-28,2079,15,138.6,2.61
328,2056,2020-06-22,14536,12,1211.33,1.91
329,1685,2018-06-20,12107,11,1100.64,4.06
330,4331,2020-09-04,10442,22,474.64,3.84
331,4734,2018-03-17,6098,12,508.17,0.43
332,2014,2020-03-18,1551,12,129.25,3.0
333,4964,2019-05-29,14945,8,1868.12,4.58
334,2520,2022-09-25,5176,21,246.48,2.57
335,3354,2023-11-16,12783,7,1826.14,1.65
336,4180,2023-02-13,1181,12,98.42,3.07
337,3442,2022-07-05,10994,9,1221.56,4.49
338,1930,2020-04-23,12850,23,558.7,4.42
339,4256,2023-07-04,12216,17,718.59,1.32
340,2731,2021-10-31,8991,11,817.36,0.89
341,2722,2018-05-16,6380,7,911.43,1.17
342,642,2018-09-15,9399,22,427.23,1.14
343,782,2020-02-18,9754,9,1083.78,4.7
344,2297,2023-12-19,6249,16,390.56,1.04
345,986,2020-01-20,2863,10,286.3,0.86
346,184,2018-05-26,3288,14,234.86,3.2
347,3739,2020-02-13,12179,6,2029.83,4.39
348,1585,2022-11-27,8412,6,1402.0,1.0
349,4984,2023-06-13,1382,15,92.13,3.89
350,15,2021-04-22,11418,14,815.57,2.18
351,1228,2021-01-18,5170,17,304.12,3.3
352,1069,2018-12-30,8047,23,349.87,3.15
353,1872,2022-04-30,4868,14,347.71,3.7
354,321,2022-11-13,5204,20,260.2,0.84
355,2752,2022-04-15,1663,20,83.15,4.28
356,1172,2022-04-18,4164,13,320.31,4.08
357,313,2019-11-15,14354,6,2392.33,4.04
358,3434,2022-06-05,8359,18,464.39,4.95
359,3279,2018-01-31,4822,22,219.18,1.26
360,3387,2022-06-15,7530,6,1255.0,3.19
361,4967,2021-09-16,4394,19,231.26,4.08
362,3191,2022-07-11,2343,14,167.36,2.11
363,3393,2023-11-10,7083,21,337.29,0.48
364,2796,2022-01-29,13096,10,1309.6,2.06
365,3450,2018-04-22,14071,10,1407.1,0.92
366,4983,2021-08-05,4458,22,202.64,0.52
367,3995,2020-03-09,11000,23,478.26,4.92
368,2604,2021-09-22,1592,21,75.81,4.59
369,765,2019-08-05,5075,23,220.65,3.67
370,2181,2023-03-04,12598,16,787.38,1.92
371,4611,2023-08-25,2238,8,279.75,4.96
372,1734,2019-04-29,3152,23,137.04,2.94
373,28,2020-10-09,13300,20,665.0,1.54
374,4093,2023-04-06,5421,21,258.14,1.84
375,4538,2019-08-14,6975,12,581.25,2.97
376,788,2022-05-13,10250,11,931.82,1.09
377,1838,2018-09-08,12198,17,717.53,2.07
378,3632,2019-02-27,11636,10,1163.6,3.03
379,2771,2018-03-09,6153,22,279.68,3.57
380,4862,2018-10-25,2653,16,165.81,1.83
381,3488,2022-06-22,8021,8,1002.62,1.46
382,55,2021-11-09,8501,13,653.92,0.53
383,4877,2019-12-19,11595,24,483.12,0.42
384,4579,2022-07-09,10629,23,462.13,4.24
385,1073,2019-04-19,14203,18,789.06,2.54
386,1933,2020-05-26,8046,14,574.71,2.18
387,4022,2021-08-18,1252,23,54.43,2.44
388,3071,2023-10-30,12863,13,989.46,1.27
389,1841,2022-05-02,9193,16,574.56,0.63
390,1711,2023-05-10,9130,8,1141.25,4.43
391,2362,2020-04-30,13830,9,1536.67,2.95
392,3476,2022-05-21,8515,21,405.48,2.19
393,3576,2021-12-25,9065,23,394.13,0.86
394,2647,2020-08-17,3619,23,157.35,3.99
395,2183,2019-11-05,11998,23,521.65,0.56
396,1652,2021-03-29,7659,12,638.25,3.6
397,3198,2019-10-28,1368,17,80.47,3.01
398,3593,2020-11-21,1553,12,129.42,1.55
399,3404,2022-07-12,2061,20,103.05,2.98
400,2776,2023-07-29,7723,17,454.29,1.61
401,4211,2022-04-13,8507,12,708.92,4.94
402,4380,2019-03-30,12880,19,677.89,4.37
403,4283,2023-03-28,1339,11,121.73,1.11
404,283,2022-06-01,2641,16,165.06,4.52
405,4077,2023-03-29,11594,21,552.1,3.28
406,1872,2020-02-12,7833,17,460.76,2.9
407,1674,2022-01-20,11442,24,476.75,4.7
408,3388,2019-07-15,2359,15,157.27,1.7
409,771,2019-06-16,3824,6,637.33,2.62
410,3369,2018-05-04,10074,8,1259.25,4.17
411,4852,2019-05-22,2212,8,276.5,0.84
412,3411,2023-10-18,9134,14,652.43,0.21
413,1179,2019-11-12,1323,19,69.63,3.01
414,4704,2023-04-13,5792,18,321.78,4.31
415,4050,2019-10-04,3798,8,474.75,0.81
416,3262,2021-02-02,1725,9,191.67,2.65
417,2910,2023-06-24,10928,13,840.62,1.55
418,1637,2018-01-18,3429,14,244.93,2.95
419,2846,2018-02-17,3397,19,178.79,0.43
420,3623,2022-10-10,9840,17,578.82,0.14
421,1078,2020-09-10,12250,10,1225.0,2.41
422,4236,2019-02-05,9708,21,462.29,4.8
423,2070,2018-10-03,11406,23,495.91,1.74
424,398,2019-08-04,3159,11,287.18,3.71
425,2506,2022-02-10,2937,20,146.85,0.99
426,3444,2023-09-09,2925,24,121.88,0.35
427,109,2018-01-12,5886,12,490.5,3.84
428,2676,2023-01-15,11809,13,908.38,0.02
429,2217,2023-09-05,14106,12,1175.5,1.42
430,4766,2021-09-16,7618,22,346.27,2.88
431,3741,2019-02-10,6184,10,618.4,2.41
432,2493,2021-04-30,12045,9,1338.33,3.78
433,1256,2020-06-28,9386,16,586.62,2.43
434,1269,2021-06-08,11240,6,1873.33,3.23
435,3743,2018-07-17,11409,13,877.62,2.55
436,1230,2019-10-10,3772,11,342.91,0.42
437,270,2023-09-11,10708,18,594.89,2.02
438,1381,2019-05-08,1166,17,68.59,2.98
439,3434,2019-12-15,3256,13,250.46,1.3
440,100,2019-12-21,2233,18,124.06,2.7
441,4271,2018-11-12,9010,18,500.56,0.03
442,1542,2019-10-08,14182,10,1418.2,4.6
443,1052,2022-03-11,7925,14,566.07,3.89
444,832,2022-12-07,8600,13,661.54,1.84
445,1025,2020-12-31,6625,7,946.43,4.77
446,4732,2018-07-24,7955,8,994.38,0.11
447,2771,2023-05-11,9242,9,1026.89,1.22
448,3803,2021-11-03,8254,6,1375.67,3.75
449,3998,2020-07-27,12477,13,959.77,0.51
450,2110,2019-12-14,10315,20,515.75,3.86
451,1896,2022-08-15,8502,7,1214.57,4.49
452,1443,2021-12-23,7705,17,453.24,4.12
453,1570,2020-03-19,3091,21,147.19,1.74
454,788,2022-05-03,1419,18,78.83,4.15
455,2174,2020-04-22,10741,10,1074.1,4.13
456,695,2023-07-25,11029,6,1838.17,1.07
457,3162,2023-02-27,4004,13,308.0,1.7
458,2725,2020-03-31,11676,13,898.15,3.6
459,2042,2018-03-23,7950,7,1135.71,4.41
460,974,2020-01-08,1794,21,85.43,2.12
461,1761,2021-10-12,12255,22,557.05,2.96
462,3039,2018-07-07,5592,9,621.33,3.11
463,1232,2023-06-04,9914,20,495.7,1.97
464,388,2018-10-28,5001,11,454.64,1.82
465,2324,2023-08-22,10552,12,879.33,2.39
466,3032,2022-08-14,12861,23,559.17,0.15
467,811,2023-05-31,8832,9,981.33,0.51
468,3931,2018-07-16,3196,19,168.21,2.22
469,1956,2018-09-09,3064,17,180.24,4.31
470,3613,2018-03-15,12178,23,529.48,1.92
471,1580,2021-12-10,13853,8,1731.62,3.33
472,739,2022-08-26,7388,21,351.81,3.49
473,355,2023-10-28,12141,11,1103.73,4.93
474,2592,2023-02-27,8945,21,425.95,3.27
475,3163,2021-11-14,5899,24,245.79,1.44
476,3046,2018-12-06,10689,21,509.0,3.72
477,737,2022-07-31,14484,11,1316.73,1.36
478,3118,2018-06-21,1044,17,61.41,3.75
479,2356,2019-06-04,13901,12,1158.42,3.05
480,2651,2021-09-06,8203,9,911.44,1.29
481,3001,2021-05-19,1982,11,180.18,3.36
482,4143,2021-12-18,3506,17,206.24,0.8
483,2253,2022-12-07,5080,7,725.71,0.56
484,1739,2019-11-15,6660,7,951.43,1.18
485,3442,2020-06-07,11238,6,1873.0,0.86
486,2576,2023-04-19,3244,19,170.74,3.79
487,1865,2019-06-02,10552,9,1172.44,2.05
488,2549,2022-08-17,14069,8,1758.62,0.96
489,4540,2019-11-17,12157,15,810.47,3.46
490,1919,2020-01-31,9898,20,494.9,4.54
491,692,2022-12-13,1891,7,270.14,4.02
492,3371,2019-02-18,10846,14,774.71,2.98
493,4154,2023-03-28,2308,14,164.86,3.09
494,192,2020-03-03,5329,8,666.12,2.66
495,785,2019-04-18,14298,11,1299.82,1.8
496,4160,2021-06-27,12853,11,1168.45,2.08
497,4043,2021-05-15,11237,10,1123.7,4.6
498,1255,2022-05-03,14223,16,888.94,1.89
499,2705,2023-06-03,8861,23,385.26,1.42
500,3008,2022-07-10,1427,18,79.28,0.77
501,1424,2020-11-01,1068,14,76.29,2.07
502,3372,2022-04-25,14444,19,760.21,4.63
503,805,2022-01-29,14425,17,848.53,4.16
504,3265,2018-03-28,5091,20,254.55,2.02
505,2127,2021-08-24,2655,18,147.5,0.84
506,3734,2021-10-01,9082,13,698.62,3.47
507,4118,2021-03-28,5014,6,835.67,2.93
508,1281,2018-02-02,1231,11,111.91,0.07
509,4014,2023-09-19,6844,23,297.57,4.81
510,2033,2023-03-24,2050,15,136.67,0.33
511,4005,2019-12-30,9875,17,580.88,4.72
512,1336,2020-07-24,6302,6,1050.33,3.0
513,2979,2022-03-29,13659,24,569.12,4.62
514,3334,2021-04-20,9210,19,484.74,0.45
515,1951,2022-07-23,12089,23,525.61,2.22
516,1541,2020-04-02,2500,24,104.17,4.46
517,3141,2021-02-24,14218,14,1015.57,0.17
518,4533,2021-07-05,13924,24,580.17,2.71
519,90,2023-12-08,12238,8,1529.75,0.37
520,3643,2023-07-29,6499,6,1083.17,3.57
521,3648,2022-11-26,3514,10,351.4,4.07
522,3739,2018-12-03,1924,14,137.43,0.02
523,99,2020-05-06,14651,15,976.73,0.43
524,591,2022-06-04,4401,13,338.54,4.49
525,1727,2020-01-01,10497,14,749.79,0.04
526,4784,2021-04-09,4251,17,250.06,2.69
527,593,2018-08-18,13092,7,1870.29,3.94
528,2624,2022-06-29,1235,24,51.46,0.91
529,536,2023-01-23,5295,13,407.31,0.77
530,2331,2019-11-03,11613,15,774.2,0.07
531,3105,2021-07-30,1572,21,74.86,4.64
532,3528,2020-12-08,11321,7,1617.29,1.46
533,2299,2021-10-16,13225,15,881.67,3.26
534,4581,2021-10-16,8011,9,890.11,1.77
535,4836,2021-04-11,6859,14,489.93,2.93
536,1413,2019-09-13,14464,24,602.67,0.02
537,2560,2019-04-06,11091,22,504.14,3.74
538,4468,2023-03-24,3712,22,168.73,1.71
539,3783,2018-11-03,11323,12,943.58,2.91
540,3112,2022-03-20,5802,9,644.67,3.99
541,2944,2020-10-12,12147,8,1518.38,1.84
542,3307,2018-10-15,8651,23,376.13,3.68
543,1964,2018-08-04,7732,9,859.11,3.16
544,3196,2018-03-01,3494,13,268.77,1.28
545,4590,2019-12-27,7972,22,362.36,0.36
546,2243,2021-06-07,11197,15,746.47,3.76
547,4556,2018-02-01,3693,12,307.75,1.28
548,894,2020-05-22,8524,8,1065.5,0.68
549,3893,2020-11-08,6887,21,327.95,0.05
550,3902,2021-12-13,7583,19,399.11,0.3
551,1678,2023-10-02,2172,23,94.43,0.63
552,4249,2018-12-25,4231,19,222.68,4.29
553,1167,2021-02-10,11745,22,533.86,3.89
554,17,2018-03-04,4167,24,173.62,2.82
555,38,2020-12-20,14654,6,2442.33,4.46
