ID do Cliente,Nome,Sexo,Idade,Faixa Etária,Renda Mensal,Cidade,Estado,Região,Nível de Escolaridade
77,Cliente 77,Masculino,61,56+,3734,Rio de Janeiro,RJ,Sudeste,Fundamental
78,Cliente 78,Masculino,64,56+,3165,Florianópolis,SC,Sul,Fundamental
79,Cliente 79,Masculino,52,46-55,7552,Goiânia,GO,Centro-Oeste,Pós-graduação
80,Cliente 80,Feminino,27,26-35,6027,Porto Alegre,RS,Sul,Superior
81,Cliente 81,Masculino,61,56+,4367,Porto Velho,RO,Norte,Fundamental
82,Cliente 82,Feminino,57,56+,6862,Manaus,AM,Norte,Fundamental
83,Cliente 83,Masculino,19,18-25,2719,Salvador,BA,Nordeste,Superior
84,Cliente 84,Masculino,25,18-25,2739,Goiânia,GO,Centro-Oeste,Médio
85,Cliente 85,Feminino,54,46-55,5197,Porto Velho,RO,Norte,Superior
86,Cliente 86,Feminino,45,36-45,3475,Porto Alegre,RS,Sul,Médio
87,Cliente 87,Feminino,35,26-35,9130,Belém,PA,Norte,Superior
88,Cliente 88,Feminino,26,26-35,5893,Curitiba,PR,Sul,Pós-graduação
89,Cliente 89,Feminino,60,56+,4773,Belém,PA,Norte,Superior
90,Cliente 90,Masculino,65,56+,2766,Fortaleza,CE,Nordeste,Pós-graduação
91,Cliente 91,Masculino,18,18-25,10000,Vitória,ES,Sudeste,Fundamental
92,Cliente 92,Masculino,23,18-25,6485,Goiânia,GO,Centro-Oeste,Médio
93,Cliente 93,Feminino,26,26-35,6074,Goiânia,GO,Centro-Oeste,Superior
94,Cliente 94,Feminino,40,36-45,4658,Rio de Janeiro,RJ,Sudeste,Médio
95,Cliente 95,Feminino,30,26-35,4810,Florianópolis,SC,Sul,Médio
96,Cliente 96,Feminino,51,46-55,5412,Belo Horizonte,MG,Sudeste,Médio
97,Cliente 97,Feminino,48,46-55,3662,Campo Grande,MS,Centro-Oeste,Superior
98,Cliente 98,Feminino,63,56+,4058,Vitória,ES,Sudeste,Superior
99,Cliente 99,Feminino,50,46-55,4996,Recife,PE,Nordeste,Fundamental
100,Cliente 100,Masculino,22,18-25,4764,Rio Branco,AC,Norte,Médio
101,Cliente 101,Masculino,58,56+,4642,Vitória,ES,Sudeste,Superior
102,Cliente 102,Masculino,52,46-55,9469,Curitiba,PR,Sul,Médio
103,Cliente 103,Masculino,27,26-35,9410,Florianópolis,SC,Sul,Médio
104,Cliente 104,Feminino,22,18-25,7483,Fortaleza,CE,Nordeste,Fundamental
105,Cliente 105,Feminino,54,46-55,3784,São Paulo,SP,Sudeste,Superior
106,Cliente 106,Feminino,51,46-55,3701,Belém,PA,Norte,Fundamental
107,Cliente 107,Feminino,28,26-35,5021,Manaus,AM,Norte,Superior
108,Cliente 108,Feminino,53,46-55,4980,Recife,PE,Nordeste,Superior
109,Cliente 109,Masculino,54,46-55,9027,Vitória,ES,Sudeste,Superior
110,Cliente 110,Feminino,47,46-55,7523,Rio de Janeiro,RJ,Sudeste,Médio
111,Cliente 111,Feminino,33,26-35,9660,Rio de Janeiro,RJ,Sudeste,Pós-graduação
112,Cliente 112,Feminino,18,18-25,5805,Fortaleza,CE,Nordeste,Fundamental
113,Cliente 113,Masculino,42,36-45,5189,Recife,PE,Nordeste,Pós-graduação
114,Cliente 114,Feminino,30,26-35,9319,Belém,PA,Norte,Superior
115,Cliente 115,Feminino,25,18-25,6749,Florianópolis,SC,Sul,Pós-graduação
116,Cliente 116,Masculino,43,36-45,7886,São Luís,MA,Nordeste,Pós-graduação
117,Cliente 117,Masculino,36,36-45,3533,São Paulo,SP,Sudeste,Médio
118,Cliente 118,Feminino,57,56+,5632,Campo Grande,MS,Centro-Oeste,Médio
119,Cliente 119,Masculino,27,26-35,9895,Brasília,DF,Centro-Oeste,Fundamental
120,Cliente 120,Feminino,58,56+,5594,Brasília,DF,Centro-Oeste,Pós-graduação
121,Cliente 121,Feminino,25,18-25,6392,Recife,PE,Nordeste,Médio
122,Cliente 122,Feminino,59,56+,4674,Goiânia,GO,Centro-Oeste,Médio
123,Cliente 123,Feminino,29,26-35,4576,Belém,PA,Norte,Pós-graduação
124,Cliente 124,Masculino,26,26-35,8665,Florianópolis,SC,Sul,Pós-graduação
125,Cliente 125,Masculino,63,56+,6586,Recife,PE,Nordeste,Superior
126,Cliente 126,Feminino,45,36-45,5292,São Luís,MA,Nordeste,Pós-graduação
127,Cliente 127,Feminino,50,46-55,5993,São Paulo,SP,Sudeste,Médio
128,Cliente 128,Feminino,54,46-55,4120,Curitiba,PR,Sul,Médio
129,Cliente 129,Masculino,53,46-55,6694,Recife,PE,Nordeste,Médio
130,Cliente 130,Feminino,36,36-45,3768,Rio de Janeiro,RJ,Sudeste,Médio
131,Cliente 131,Masculino,36,36-45,2434,Campo Grande,MS,Centro-Oeste,Pós-graduação
132,Cliente 132,Feminino,39,36-45,2920,Manaus,AM,Norte,Pós-graduação
133,Cliente 133,Masculino,20,18-25,4237,Vitória,ES,Sudeste,Superior
134,Cliente 134,Feminino,58,56+,2244,Vitória,ES,Sudeste,Superior
135,Cliente 135,Masculino,38,36-45,4206,Porto Velho,RO,Norte,Fundamental
136,Cliente 136,Masculino,22,18-25,9965,Vitória,ES,Sudeste,Médio
137,Cliente 137,Masculino,41,36-45,7800,Belém,PA,Norte,Fundamental
138,Cliente 138,Masculino,65,56+,6254,Rio Branco,AC,Norte,Médio
139,Cliente 139,Feminino,32,26-35,4510,Belém,PA,Norte,Fundamental
140,Cliente 140,Masculino,27,26-35,6245,Goiânia,GO,Centro-Oeste,Fundamental
141,Cliente 141,Feminino,25,18-25,3541,Recife,PE,Nordeste,Fundamental
142,Cliente 142,Masculino,18,18-25,8073,Porto Alegre,RS,Sul,Superior
143,Cliente 143,Masculino,32,26-35,4078,Belém,PA,Norte,Superior
144,Cliente 144,Masculino,44,36-45,4423,Rio Branco,AC,Norte,Pós-graduação
145,Cliente 145,Feminino,23,18-25,4158,Rio Branco,AC,Norte,Pós-graduação
146,Cliente 146,Feminino,44,36-45,4634,Vitória,ES,Sudeste,Pós-graduação
147,Cliente 147,Feminino,24,18-25,7558,Brasília,DF,Centro-Oeste,Fundamental
148,Cliente 148,Feminino,27,26-35,7140,Belo Horizonte,MG,Sudeste,Superior
149,Cliente 149,Feminino,41,36-45,7947,Goiânia,GO,Centro-Oeste,Superior
150,Cliente 150,Masculino,19,18-25,7404,Curitiba,PR,Sul,Fundamental
151,Cliente 151,Masculino,27,26-35,6494,Salvador,BA,Nordeste,Pós-graduação
152,Cliente 152,Masculino,46,46-55,5307,Campo Grande,MS,Centro-Oeste,Fundamental
153,Cliente 153,Feminino,24,18-25,2666,Curitiba,PR,Sul,Pós-graduação
154,Cliente 154,Feminino,31,26-35,5760,São Luís,MA,Nordeste,Superior
155,Cliente 155,Masculino,43,36-45,2752,Porto Velho,RO,Norte,Médio
156,Cliente 156,Feminino,53,46-55,5748,Goiânia,GO,Centro-Oeste,Fundamental
157,Cliente 157,Masculino,29,26-35,7457,Florianópolis,SC,Sul,Superior
158,Cliente 158,Masculino,54,46-55,5229,Belo Horizonte,MG,Sudeste,Superior
159,Cliente 159,Feminino,55,46-55,5689,Manaus,AM,Norte,Pós-graduação
160,Cliente 160,Masculino,21,18-25,3040,Curitiba,PR,Sul,Médio
161,Cliente 161,Masculino,62,56+,8042,Rio de Janeiro,RJ,Sudeste,Médio
162,Cliente 162,Feminino,59,56+,6347,Manaus,AM,Norte,Superior
163,Cliente 163,Masculino,40,36-45,5597,Manaus,AM,Norte,Superior
164,Cliente 164,Masculino,64,56+,3414,Rio Branco,AC,Norte,Médio
165,Cliente 165,Feminino,61,56+,9232,Belém,PA,Norte,Fundamental
166,Cliente 166,Masculino,29,26-35,4309,Rio de Janeiro,RJ,Sudeste,Fundamental
167,Cliente 167,Masculino,45,36-45,6160,Curitiba,PR,Sul,Superior
168,Cliente 168,Masculino,27,26-35,3613,Rio de Janeiro,RJ,Sudeste,Pós-graduação
169,Cliente 169,Feminino,37,36-45,6451,Manaus,AM,Norte,Superior
170,Cliente 170,Masculino,32,26-35,5508,Belém,PA,Norte,Médio
171,Cliente 171,Feminino,65,56+,4255,Manaus,AM,Norte,Médio
172,Cliente 172,Feminino,40,36-45,3542,São Luís,MA,Nordeste,Superior
173,Cliente 173,Masculino,61,56+,2153,Goiânia,GO,Centro-Oeste,Superior
174,Cliente 174,Feminino,56,56+,5090,Fortaleza,CE,Nordeste,Médio
175,Cliente 175,Feminino,24,18-25,2457,Vitória,ES,Sudeste,Médio
176,Cliente 176,Masculino,59,56+,7329,Salvador,BA,Nordeste,Pós-graduação
177,Cliente 177,Feminino,59,56+,7137,Fortaleza,CE,Nordeste,Superior
178,Cliente 178,Feminino,29,26-35,3796,Belo Horizonte,MG,Sudeste,Pós-graduação
179,Cliente 179,Feminino,38,36-45,3175,Rio de Janeiro,RJ,Sudeste,Fundamental
180,Cliente 180,Feminino,28,26-35,4378,Goiânia,GO,Centro-Oeste,Médio
181,Cliente 181,Feminino,56,56+,4584,Campo Grande,MS,Centro-Oeste,Médio
182,Cliente 182,Masculino,49,46-55,5448,Vitória,ES,Sudeste,Médio
183,Cliente 183,Masculino,50,46-55,5349,São Luís,MA,Nordeste,Pós-graduação
184,Cliente 184,Masculino,37,36-45,3393,Campo Grande,MS,Centro-Oeste,Fundamental
185,Cliente 185,Masculino,53,46-55,9322,Florianópolis,SC,Sul,Pós-graduação
186,Cliente 186,Masculino,62,56+,5657,Florianópolis,SC,Sul,Superior
187,Cliente 187,Feminino,45,36-45,5259,Manaus,AM,Norte,Pós-graduação
188,Cliente 188,Masculino,20,18-25,6350,Belo Horizonte,MG,Sudeste,Fundamental
189,Cliente 189,Masculino,46,46-55,3645,Salvador,BA,Nordeste,Fundamental
190,Cliente 190,Masculino,25,18-25,9173,Fortaleza,CE,Nordeste,Superior
191,Cliente 191,Masculino,64,56+,9015,Brasília,DF,Centro-Oeste,Superior
192,Cliente 192,Feminino,62,56+,8704,Campo Grande,MS,Centro-Oeste,Superior
193,Cliente 193,Feminino,64,56+,5394,Rio de Janeiro,RJ,Sudeste,Fundamental
194,Cliente 194,Feminino,31,26-35,3149,Rio de Janeiro,RJ,Sudeste,Superior
195,Cliente 195,Masculino,36,36-45,2678,Recife,PE,Nordeste,Fundamental
196,Cliente 196,Masculino,61,56+,9135,Brasília,DF,Centro-Oeste,Fundamental
197,Cliente 197,Feminino,48,46-55,5105,Belém,PA,Norte,Fundamental
198,Cliente 198,Masculino,22,18-25,9973,Manaus,AM,Norte,Superior
199,Cliente 199,Feminino,21,18-25,9512,São Luís,MA,Nordeste,Pós-graduação
200,Cliente 200,Masculino,54,46-55,6555,Brasília,DF,Centro-Oeste,Médio
201,Cliente 201,Masculino,64,56+,3456,Goiânia,GO,Centro-Oeste,Médio
202,Cliente 202,Masculino,41,36-45,7332,Florianópolis,SC,Sul,Fundamental
203,Cliente 203,Masculino,30,26-35,9339,Fortaleza,CE,Nordeste,Superior
204,Cliente 204,Masculino,47,46-55,9685,São Luís,MA,Nordeste,Superior
205,Cliente 205,Feminino,65,56+,3752,Brasília,DF,Centro-Oeste,Fundamental
206,Cliente 206,Masculino,47,46-55,5234,Florianópolis,SC,Sul,Fundamental
207,Cliente 207,Feminino,41,36-45,9640,Campo Grande,MS,Centro-Oeste,Pós-graduação
208,Cliente 208,Masculino,33,26-35,7221,Salvador,BA,Nordeste,Superior
209,Cliente 209,Masculino,48,46-55,3499,Campo Grande,MS,Centro-Oeste,Fundamental
210,Cliente 210,Feminino,55,46-55,8598,Goiânia,GO,Centro-Oeste,Médio
211,Cliente 211,Feminino,34,26-35,8930,Goiânia,GO,Centro-Oeste,Superior
212,Cliente 212,Feminino,25,18-25,3120,Salvador,BA,Nordeste,Pós-graduação
213,Cliente 213,Masculino,57,56+,3190,Curitiba,PR,Sul,Pós-graduação
214,Cliente 214,Feminino,43,36-45,5269,Florianópolis,SC,Sul,Fundamental
215,Cliente 215,Feminino,35,26-35,5271,São Luís,MA,Nordeste,Superior
216,Cliente 216,Masculino,59,56+,8067,Belém,PA,Norte,Pós-graduação
217,Cliente 217,Feminino,21,18-25,4892,Brasília,DF,Centro-Oeste,Superior
218,Cliente 218,Masculino,51,46-55,6765,Florianópolis,SC,Sul,Médio
219,Cliente 219,Feminino,54,46-55,4118,Goiânia,GO,Centro-Oeste,Fundamental
220,Cliente 220,Masculino,55,46-55,5926,Belém,PA,Norte,Fundamental
221,Cliente 221,Masculino,29,26-35,9139,Goiânia,GO,Centro-Oeste,Superior
222,Cliente 222,Masculino,39,36-45,2507,Goiânia,GO,Centro-Oeste,Fundamental
223,Cliente 223,Feminino,62,56+,6866,Salvador,BA,Nordeste,Médio
224,Cliente 224,Feminino,63,56+,4445,Salvador,BA,Nordeste,Superior
225,Cliente 225,Feminino,39,36-45,8669,Brasília,DF,Centro-Oeste,Fundamental
226,Cliente 226,Masculino,58,56+,8495,Campo Grande,MS,Centro-Oeste,Superior
227,Cliente 227,Masculino,21,18-25,4639,Salvador,BA,Nordeste,Fundamental
228,Cliente 228,Feminino,20,18-25,7750,Belo Horizonte,MG,Sudeste,Médio
229,Cliente 229,Masculino,46,46-55,9977,Goiânia,GO,Centro-Oeste,Pós-graduação
230,Cliente 230,Masculino,45,36-45,6297,Brasília,DF,Centro-Oeste,Médio
231,Cliente 231,Masculino,39,36-45,8281,Campo Grande,MS,Centro-Oeste,Fundamental
232,Cliente 232,Masculino,64,56+,7299,Florianópolis,SC,Sul,Médio
233,Cliente 233,Feminino,62,56+,4455,Manaus,AM,Norte,Pós-graduação
234,Cliente 234,Masculino,42,36-45,4154,Manaus,AM,Norte,Fundamental
235,Cliente 235,Masculino,25,18-25,8225,Porto Velho,RO,Norte,Superior
236,Cliente 236,Feminino,58,56+,5556,Rio de Janeiro,RJ,Sudeste,Fundamental
237,Cliente 237,Feminino,24,18-25,3411,Belo Horizonte,MG,Sudeste,Superior
238,Cliente 238,Feminino,40,36-45,2673,Fortaleza,CE,Nordeste,Superior
239,Cliente 239,Masculino,42,36-45,4199,Brasília,DF,Centro-Oeste,Pós-graduação
240,Cliente 240,Masculino,39,36-45,9292,Belém,PA,Norte,Médio
241,Cliente 241,Feminino,24,18-25,3682,Campo Grande,MS,Centro-Oeste,Médio
242,Cliente 242,Feminino,53,46-55,6396,Manaus,AM,Norte,Superior
243,Cliente 243,Feminino,27,26-35,6657,Goiânia,GO,Centro-Oeste,Médio
244,Cliente 244,Feminino,44,36-45,8369,Goiânia,GO,Centro-Oeste,Pós-graduação
245,Cliente 245,Masculino,65,56+,5352,Rio de Janeiro,RJ,Sudeste,Pós-graduação
246,Cliente 246,Masculino,38,36-45,5442,Campo Grande,MS,Centro-Oeste,Médio
247,Cliente 247,Feminino,44,36-45,7029,Salvador,BA,Nordeste,Fundamental
248,Cliente 248,Feminino,31,26-35,9607,Vitória,ES,Sudeste,Fundamental
249,Cliente 249,Masculino,26,26-35,4929,São Paulo,SP,Sudeste,Médio
250,Cliente 250,Masculino,35,26-35,6969,Porto Velho,RO,Norte,Superior
251,Cliente 251,Feminino,21,18-25,5639,Curitiba,PR,Sul,Fundamental
252,Cliente 252,Masculino,43,36-45,4943,Belo Horizonte,MG,Sudeste,Pós-graduação
253,Cliente 253,Feminino,48,46-55,3261,Porto Velho,RO,Norte,Superior
254,Cliente 254,Feminino,24,18-25,9426,Rio de Janeiro,RJ,Sudeste,Médio
255,Cliente 255,Masculino,27,26-35,5294,Belo Horizonte,MG,Sudeste,Médio
256,Cliente 256,Feminino,62,56+,6425,Rio de Janeiro,RJ,Sudeste,Médio
257,Cliente 257,Feminino,51,46-55,9625,Florianópolis,SC,Sul,Pós-graduação
258,Cliente 258,Masculino,31,26-35,3358,Porto Velho,RO,Norte,Fundamental
259,Cliente 259,Feminino,25,18-25,3150,Porto Velho,RO,Norte,Pós-graduação
260,Cliente 260,Feminino,63,56+,7053,Brasília,DF,Centro-Oeste,Pós-graduação
261,Cliente 261,Masculino,64,56+,3342,Florianópolis,SC,Sul,Fundamental
262,Cliente 262,Masculino,24,18-25,4386,Porto Velho,RO,Norte,Superior
263,Cliente 263,Feminino,59,56+,3160,Brasília,DF,Centro-Oeste,Pós-graduação
264,Cliente 264,Feminino,45,36-45,2646,Fortaleza,CE,Nordeste,Médio
265,Cliente 265,Masculino,36,36-45,4160,Campo Grande,MS,Centro-Oeste,Fundamental
266,Cliente 266,Feminino,62,56+,8451,Porto Alegre,RS,Sul,Superior
267,Cliente 267,Masculino,51,46-55,9060,Belém,PA,Norte,Superior
268,Cliente 268,Masculino,47,46-55,2100,Belém,PA,Norte,Superior
269,Cliente 269,Feminino,56,56+,9731,Recife,PE,Nordeste,Fundamental
270,Cliente 270,Feminino,29,26-35,4371,São Paulo,SP,Sudeste,Médio
271,Cliente 271,Masculino,56,56+,6973,Manaus,AM,Norte,Fundamental
272,Cliente 272,Masculino,64,56+,4665,Curitiba,PR,Sul,Fundamental
273,Cliente 273,Masculino,28,26-35,4715,Brasília,DF,Centro-Oeste,Médio
274,Cliente 274,Masculino,58,56+,2138,Florianópolis,SC,Sul,Fundamental
275,Cliente 275,Masculino,27,26-35,7476,Porto Velho,RO,Norte,Pós-graduação
276,Cliente 276,Masculino,33,26-35,8785,São Paulo,SP,Sudeste,Superior
277,Cliente 277,Feminino,18,18-25,3059,Rio de Janeiro,RJ,Sudeste,Fundamental
278,Cliente 278,Masculino,25,18-25,5085,Curitiba,PR,Sul,Médio
279,Cliente 279,Masculino,56,56+,2906,Manaus,AM,Norte,Médio
280,Cliente 280,Masculino,57,56+,7170,Belo Horizonte,MG,Sudeste,Pós-graduação
281,Cliente 281,Feminino,29,26-35,6885,Brasília,DF,Centro-Oeste,Superior
282,Cliente 282,Masculino,50,46-55,6352,Vitória,ES,Sudeste,Fundamental
283,Cliente 283,Masculino,39,36-45,4762,Vitória,ES,Sudeste,Médio
284,Cliente 284,Feminino,20,18-25,7332,Belo Horizonte,MG,Sudeste,Fundamental
285,Cliente 285,Masculino,43,36-45,6017,São Luís,MA,Nordeste,Superior
286,Cliente 286,Feminino,34,26-35,3120,Manaus,AM,Norte,Fundamental
287,Cliente 287,Masculino,31,26-35,4473,Fortaleza,CE,Nordeste,Fundamental
288,Cliente 288,Masculino,25,18-25,7989,Porto Velho,RO,Norte,Fundamental
289,Cliente 289,Masculino,28,26-35,3724,Brasília,DF,Centro-Oeste,Pós-graduação
290,Cliente 290,Feminino,20,18-25,4795,São Luís,MA,Nordeste,Pós-graduação
291,Cliente 291,Feminino,56,56+,3893,Rio Branco,AC,Norte,Pós-graduação
292,Cliente 292,Masculino,37,36-45,6278,Goiânia,GO,Centro-Oeste,Superior
293,Cliente 293,Feminino,23,18-25,9601,Florianópolis,SC,Sul,Médio
294,Cliente 294,Feminino,34,26-35,7467,Belo Horizonte,MG,Sudeste,Médio
295,Cliente 295,Feminino,51,46-55,7296,Brasília,DF,Centro-Oeste,Pós-graduação
296,Cliente 296,Masculino,29,26-35,2915,Brasília,DF,Centro-Oeste,Pós-graduação
297,Cliente 297,Masculino,35,26-35,5375,Goiânia,GO,Centro-Oeste,Médio
298,Cliente 298,Feminino,38,36-45,6318,Porto Velho,RO,Norte,Pós-graduação
299,Cliente 299,Masculino,43,36-45,3848,Curitiba,PR,Sul,Fundamental
300,Cliente 300,Masculino,50,46-55,8470,Porto Velho,RO,Norte,Médio
301,Cliente 301,Masculino,24,18-25,5273,Campo Grande,MS,Centro-Oeste,Superior
302,Cliente 302,Feminino,31,26-35,7784,São Paulo,SP,Sudeste,Pós-graduação
303,Cliente 303,Masculino,57,56+,2884,Florianópolis,SC,Sul,Superior
304,Cliente 304,Masculino,61,56+,2415,Salvador,BA,Nordeste,Pós-graduação
305,Cliente 305,Masculino,58,56+,2648,Rio Branco,AC,Norte,Fundamental
306,Cliente 306,Masculino,44,36-45,9535,Florianópolis,SC,Sul,Fundamental
307,Cliente 307,Masculino,51,46-55,2872,Porto Velho,RO,Norte,Fundamental
308,Cliente 308,Masculino,35,26-35,9950,Rio de Janeiro,RJ,Sudeste,Superior
309,Cliente 309,Masculino,60,56+,2003,São Paulo,SP,Sudeste,Pós-graduação
310,Cliente 310,Masculino,53,46-55,8773,Rio Branco,AC,Norte,Médio
311,Cliente 311,Feminino,22,18-25,7489,Vitória,ES,Sudeste,Fundamental
312,Cliente 312,Masculino,31,26-35,7103,Belo Horizonte,MG,Sudeste,Pós-graduação
313,Cliente 313,Masculino,47,46-55,3973,Goiânia,GO,Centro-Oeste,Médio
314,Cliente 314,Masculino,45,36-45,5213,Rio de Janeiro,RJ,Sudeste,Médio
315,Cliente 315,Masculino,51,46-55,2556,Salvador,BA,Nordeste,Fundamental
316,Cliente 316,Feminino,36,36-45,5242,Salvador,BA,Nordeste,Fundamental
317,Cliente 317,Feminino,56,56+,8849,Belém,PA,Norte,Pós-graduação
318,Cliente 318,Masculino,35,26-35,4515,Salvador,BA,Nordeste,Superior
319,Cliente 319,Masculino,64,56+,2421,Goiânia,GO,Centro-Oeste,Superior
